MTS,open,close,high,low,volume
2017-11-12 10:00:00,383.0,412.0,447.99,382.74,19649.54747666
2017-11-12 13:00:00,412.0,292.0,413.0,283.4,29681.26835584
2017-11-12 16:00:00,291.17,341.99,375.0,283.4,18970.82183873
2017-11-12 19:00:00,341.98,307.01,353.99,299.47,11154.23520351
2017-11-12 22:00:00,308.0,321.6,349.0,308.0,9435.00877225
2017-11-13 01:00:00,322.22,250.89,327.02,235.0,31657.98850172
2017-11-13 04:00:00,250.89,252.91,282.8,236.0,10462.99474915
2017-11-13 07:00:00,252.9,253.72,274.8,242.17,4438.23766716
2017-11-13 10:00:00,253.55,208.0,257.0,182.0,14057.04261793
2017-11-13 13:00:00,209.5,218.75,228.17,186.0,12307.20945973
2017-11-13 16:00:00,218.75,255.21,282.04,216.24,22134.26882408
2017-11-13 19:00:00,255.31,237.7,268.34,230.0,11147.60763403
2017-11-13 22:00:00,237.0,237.97,248.0,231.04,6623.69098915
2017-11-14 01:00:00,237.87,249.0,272.23,224.8,13754.38523072
2017-11-14 04:00:00,249.7,240.0,258.9,236.6,4571.65083144
2017-11-14 07:00:00,240.0,217.0,247.0,201.5,14008.1429912
2017-11-14 10:00:00,217.0,219.9,222.94,212.01,3204.61963112
2017-11-14 13:00:00,220.0,202.99,230.5,195.0,10517.32443158
2017-11-14 16:00:00,203.0,212.39,216.0,197.0,6669.2210571999985
2017-11-14 19:00:00,212.35,206.67,213.87,200.0,5060.42823866
2017-11-14 22:00:00,208.19,200.5,210.5,192.0,12816.08286313
2017-11-15 01:00:00,200.5,190.11,202.26,190.0,4806.55186024
2017-11-15 04:00:00,190.31,173.69,201.3,160.0,18721.61879102
2017-11-15 07:00:00,173.6,183.99,185.7,160.0,12265.63605337
2017-11-15 10:00:00,181.59,190.58,194.0,180.88,4634.43748927
2017-11-15 13:00:00,190.58,180.5,197.5,173.0,9175.08476623
2017-11-15 16:00:00,180.41,176.6,184.5,175.49,3504.69791598
2017-11-15 19:00:00,176.6,167.94,177.89,165.68,6821.90076833
2017-11-15 22:00:00,167.94,173.21,175.49,165.67,5929.78231227
2017-11-16 01:00:00,173.21,162.22,173.21,160.2,6463.04665361
2017-11-16 04:00:00,162.23,163.6,170.7,160.51,3943.24786994
2017-11-16 07:00:00,163.6,166.57,167.72,161.0,2075.212403
2017-11-16 10:00:00,165.3,177.0,190.0,164.07,10927.96623501
2017-11-16 13:00:00,177.0,186.0,189.55,175.0,5162.13497863
2017-11-16 16:00:00,186.0,184.0,198.26,172.05,12190.176053
2017-11-16 19:00:00,183.97,175.93,186.0,171.0,6187.29805948
2017-11-16 22:00:00,176.0,174.0,177.0,169.5,3610.87150565
2017-11-17 01:00:00,174.0,168.9,175.85,166.0,5252.07503013
2017-11-17 04:00:00,168.91,154.8,174.8,151.0,10311.81589741
2017-11-17 07:00:00,154.51,168.1,169.06,152.68,3386.64373185
2017-11-17 10:00:00,168.4,155.74,168.89,155.0,4026.0832038
2017-11-17 13:00:00,155.6,159.33,166.22,152.83,7002.9765089
2017-11-17 16:00:00,159.0,162.3,167.0,155.51,5410.36176545
2017-11-17 19:00:00,162.5,164.83,164.86,160.0,2800.95063826
2017-11-17 22:00:00,164.83,163.41,173.0,163.0,7874.94591331
2017-11-18 01:00:00,165.0,165.8,168.05,162.6,1611.68524418
2017-11-18 04:00:00,165.44,162.91,167.0,161.2,1699.88211503
2017-11-18 07:00:00,163.55,172.93,180.3,162.7,6506.08554308
2017-11-18 10:00:00,173.0,177.6,179.3,168.3,3612.91044438
2017-11-18 13:00:00,176.79,174.39,180.15,173.4,4577.55358058
2017-11-18 16:00:00,174.77,174.6,179.0,170.05,3769.11643994
2017-11-18 19:00:00,174.51,171.6,175.9,170.0,2201.92214665
2017-11-18 22:00:00,171.4,168.43,173.29,166.84,3235.52032043
2017-11-19 01:00:00,169.0,170.31,174.99,167.82,1860.73307867
2017-11-19 04:00:00,170.57,176.2,177.0,167.0,3771.32688726
2017-11-19 07:00:00,176.2,176.8,178.0,173.18,3471.95011283
2017-11-19 10:00:00,177.0,171.0,177.0,170.5,1732.52009842
2017-11-19 13:00:00,171.0,168.5,174.57,167.7,2851.20168008
2017-11-19 16:00:00,168.5,165.0,172.0,163.05,3825.98098138
2017-11-19 19:00:00,164.8,169.0,170.44,164.79,2272.74064583
2017-11-19 22:00:00,169.0,166.44,169.1,165.07,2602.52815082
2017-11-20 01:00:00,166.26,162.82,166.43,160.02,3367.50879821
2017-11-20 04:00:00,161.55,163.99,167.0,160.0,3604.49934063
2017-11-20 07:00:00,162.51,161.1,164.0,160.0,1525.29891972
2017-11-20 10:00:00,161.3,158.7,161.99,156.0,3339.95496221
2017-11-20 13:00:00,158.7,157.8,161.0,156.0,2205.04333132
2017-11-20 16:00:00,157.7,161.0,164.7,157.23,3609.978711300001
2017-11-20 19:00:00,161.0,158.0,161.14,158.0,3063.92448252
2017-11-20 22:00:00,158.3,158.1,161.58,158.0,2978.44141046
2017-11-21 01:00:00,158.2,153.79,159.59,150.0,9662.42918385
2017-11-21 04:00:00,153.5,195.0,240.0,151.0,63484.27183086
2017-11-21 07:00:00,194.1,211.97,223.5,181.65,25605.73463454
2017-11-21 10:00:00,210.01,225.03,262.14,202.0,46081.10654288
2017-11-21 13:00:00,225.08,221.19,239.8,207.07,23184.34731416
2017-11-21 16:00:00,221.05,245.0,255.0,215.0,24030.12262873
2017-11-21 19:00:00,244.99,251.5,260.0,242.63,16863.26888089
2017-11-21 22:00:00,251.8,232.02,252.37,222.97,18300.60119981
2017-11-22 01:00:00,233.72,235.0,244.9,227.0,13408.46751621
2017-11-22 04:00:00,234.97,252.0,260.05,230.0,13078.02601123
2017-11-22 07:00:00,251.8,250.8,258.8,246.0,5262.85040131
2017-11-22 10:00:00,249.31,244.9,252.0,243.0,3332.08071399
2017-11-22 13:00:00,244.9,243.27,245.0,234.7,5514.57407217
2017-11-22 16:00:00,243.0,234.8,244.9,231.3,6305.54148939
2017-11-22 19:00:00,234.8,227.5,237.45,216.5,12420.15802071
2017-11-22 22:00:00,227.51,234.46,239.99,227.5,4126.7579544
2017-11-23 01:00:00,234.42,233.2,239.7,231.08,2405.30731528
2017-11-23 04:00:00,233.2,233.2,235.8,230.31,2378.82437232
2017-11-23 07:00:00,233.17,246.0,255.99,232.8,9884.37835777
2017-11-23 10:00:00,246.0,247.5,253.8,236.52,8660.67575293
2017-11-23 13:00:00,247.5,255.24,260.0,244.0,10105.16772182
2017-11-23 16:00:00,256.79,263.0,283.37,255.47,22296.82795502
2017-11-23 19:00:00,261.2,277.0,294.78,261.2,21974.54309862
2017-11-23 22:00:00,277.0,280.74,292.8,277.0,8025.69571057
2017-11-24 01:00:00,280.74,274.19,284.8,272.0,7358.17766515
2017-11-24 04:00:00,274.18,284.5,287.9,272.01,4514.72770404
2017-11-24 07:00:00,284.1,298.0,298.0,274.55,6125.55076312
2017-11-24 10:00:00,298.0,319.0,319.0,275.0,34970.29522291
2017-11-24 13:00:00,319.0,308.0,340.49,291.0,40025.14491528
2017-11-24 16:00:00,308.0,409.0,420.0,304.9,57072.91885657
2017-11-24 19:00:00,408.8,376.07,410.48,370.0,40430.83070165
2017-11-24 22:00:00,376.07,391.41,407.86,370.0,14494.85074905
2017-11-25 01:00:00,391.41,390.69,398.0,370.0,11080.58652272
2017-11-25 04:00:00,391.8,392.3,399.49,361.1,18881.51245176
2017-11-25 07:00:00,392.0,378.31,394.4,370.0,12166.09098822
2017-11-25 10:00:00,379.02,381.3,390.0,368.02,6867.51952798
2017-11-25 13:00:00,381.39,387.2,394.0,378.0,10611.69677252
2017-11-25 16:00:00,387.2,386.0,391.95,381.0,4303.34385452
2017-11-25 19:00:00,385.0,369.99,386.9,363.63,12197.32243463
2017-11-25 22:00:00,370.0,348.05,373.7,346.3,10343.61924239
2017-11-26 01:00:00,350.0,378.08,383.88,319.5,32135.87379829
2017-11-26 04:00:00,378.0,357.05,378.08,349.0,13659.66797544
2017-11-26 07:00:00,357.04,357.0,363.78,345.0,7093.03434858
2017-11-26 10:00:00,357.1,350.0,361.57,346.0,9610.28028026
2017-11-26 13:00:00,349.96,348.96,360.14,346.3,4800.70397084
2017-11-26 16:00:00,347.5,350.47,351.66,335.63,9629.19659731
2017-11-26 19:00:00,350.46,350.0,353.0,340.0,6780.42165928
2017-11-26 22:00:00,350.0,344.5,351.49,340.1,5817.02464257
2017-11-27 01:00:00,345.45,344.03,355.61,330.0,12576.86353953
2017-11-27 04:00:00,344.61,368.27,370.0,342.0,6423.98857491
2017-11-27 07:00:00,367.01,370.0,384.99,357.2,14834.36415943
2017-11-27 10:00:00,371.68,383.0,393.0,370.0,7666.85225658
2017-11-27 13:00:00,383.0,372.74,387.76,368.0,10041.99383657
2017-11-27 16:00:00,372.68,361.95,372.7,346.08,6761.43098559
2017-11-27 19:00:00,361.05,360.5,364.57,350.0,6216.16736284
2017-11-27 22:00:00,360.5,362.03,365.0,357.01,5798.86818461
