MTS,open,close,high,low,volume
2018-02-03 18:00:00,946.49,970.1,970.1,938.96,8318.37471186
2018-02-03 19:00:00,970.01,963.38,974.78,951.91,7817.97294001
2018-02-03 20:00:00,962.5,982.3,989.2,956.7,8508.18848681
2018-02-03 21:00:00,982.59,989.5,997.66,974.85,10532.56095324
2018-02-03 22:00:00,989.5,958.2,999.0,952.64,16276.79310245
2018-02-03 23:00:00,958.3,983.9,984.39,948.0,7062.84157871
2018-02-04 00:00:00,984.3,966.76,984.8,961.15,6139.49594784
2018-02-04 01:00:00,966.76,984.82,984.83,957.22,4233.1120923
2018-02-04 02:00:00,984.85,982.15,985.0,973.24,4947.94930051
2018-02-04 03:00:00,980.61,974.0,990.0,966.21,6143.44751344
2018-02-04 04:00:00,974.15,960.23,975.2,956.0,5485.08010576
2018-02-04 05:00:00,960.41,959.5,970.14,954.77,3515.14857119
2018-02-04 06:00:00,959.2,972.1,973.0,952.37,3701.51479369
2018-02-04 07:00:00,972.1,950.0,972.8,948.0,12434.82882181
2018-02-04 08:00:00,950.0,937.3,954.9,935.52,8931.28261508
2018-02-04 09:00:00,937.19,949.8,952.9,936.1,4155.8157671
2018-02-04 10:00:00,949.79,960.6,961.0,949.78,6553.067997300002
2018-02-04 11:00:00,960.6,947.2,961.0,946.11,4949.07933086
2018-02-04 12:00:00,947.2,961.0,961.0,945.16,4281.83949087
2018-02-04 13:00:00,960.34,961.06,971.96,959.01,6729.479830600001
2018-02-04 14:00:00,961.7,949.0,962.9,945.1,7558.96830404
2018-02-04 15:00:00,949.0,934.01,951.0,931.65,6005.84351615
2018-02-04 16:00:00,934.01,896.96,934.07,894.19,20697.00416768
2018-02-04 17:00:00,898.99,897.57,900.0,886.61,14704.75501907
2018-02-04 18:00:00,897.58,887.14,913.68,887.0,14064.47541566
2018-02-04 19:00:00,887.48,894.6,894.6,856.18,17212.54909993
2018-02-04 20:00:00,894.59,881.31,896.37,868.13,9519.93311237
2018-02-04 21:00:00,881.7,879.0,902.0,875.01,6475.17339672
2018-02-04 22:00:00,879.0,857.1,888.02,850.0,11829.30541799
2018-02-04 23:00:00,857.44,875.68,878.0,845.0,19294.35136123
2018-02-05 00:00:00,874.8,873.73,891.99,867.8,6188.96041534
2018-02-05 01:00:00,874.1,862.27,883.56,853.0,8983.58361399
2018-02-05 02:00:00,861.0,840.0,861.0,836.76,11847.65266728
2018-02-05 03:00:00,840.0,828.3,846.43,771.0,98654.69847448
2018-02-05 04:00:00,828.3,812.01,837.07,810.0,18929.74516226
2018-02-05 05:00:00,812.01,850.5,852.09,791.0,13359.61888691
2018-02-05 06:00:00,850.5,825.3,852.3,823.53,6806.01856902
2018-02-05 07:00:00,825.2,834.0,846.04,823.5,5681.13813243
2018-02-05 08:00:00,834.0,829.0,835.61,808.52,13055.71141111
2018-02-05 09:00:00,829.0,819.1,832.53,802.0,9929.96722233
2018-02-05 10:00:00,819.1,837.79,841.0,817.34,10634.5592193
2018-02-05 11:00:00,837.79,848.95,852.82,821.0,8168.576239
2018-02-05 12:00:00,850.2,841.1,858.6,841.0,4917.2215877
2018-02-05 13:00:00,841.28,831.38,853.12,830.0,6214.39058434
2018-02-05 14:00:00,831.38,818.35,836.72,812.08,10302.40819586
2018-02-05 15:00:00,818.35,796.46,822.66,793.84,12976.52356588
2018-02-05 16:00:00,796.66,807.87,824.23,783.54,14998.86284713
2018-02-05 17:00:00,807.87,778.76,809.72,777.0,29556.63715943
2018-02-05 18:00:00,778.03,761.0,788.68,750.48,27247.88807149
2018-02-05 19:00:00,761.0,775.36,787.88,761.0,12954.02249928
2018-02-05 20:00:00,775.36,772.51,783.0,765.0,10557.73581923
2018-02-05 21:00:00,772.51,725.39,772.98,723.01,29340.41394726
2018-02-05 22:00:00,725.35,732.1,757.13,710.0,43141.50479929
2018-02-05 23:00:00,732.59,720.3,741.98,715.0,19684.53388186
2018-02-06 00:00:00,721.49,700.0,724.7,700.0,31003.269805799995
2018-02-06 01:00:00,700.0,685.1,714.99,684.6,45486.2050522
2018-02-06 02:00:00,685.1,646.0,692.44,641.01,48817.86072494
2018-02-06 03:00:00,646.11,717.07,753.82,641.01,68311.35411641
2018-02-06 04:00:00,717.21,717.75,738.97,683.4,36030.53501216
2018-02-06 05:00:00,717.67,684.81,745.0,681.94,22803.51799355
